Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
201821401,30.10,20.5,51.00,D,NOV-DEC,2018,NORMAL,MA2102,4.0,ALGEBRA,89,80,70,60,50,40,NOV-DEC-2018,0,0,0,0,0
201821402,10.70,1,12.00,F,NOV-DEC,2018,NORMAL,MA2102,4.0,ALGEBRA,89,80,70,60,50,40,NOV-DEC-2018,0,0,0,0,0
201821403,27.40,38.5,66.00,C,NOV-DEC,2018,NORMAL,MA2102,4.0,ALGEBRA,89,80,70,60,50,40,NOV-DEC-2018,0,0,0,0,0
201821404,17.20,14.5,32.00,F,NOV-DEC,2018,NORMAL,MA2102,4.0,ALGEBRA,89,80,70,60,50,40,NOV-DEC-2018,0,0,0,0,0
201821405,25.00,27.5,53.00,D,NOV-DEC,2018,NORMAL,MA2102,4.0,ALGEBRA,89,80,70,60,50,40,NOV-DEC-2018,0,0,0,0,0
201821406,15.90,10,26.00,F,NOV-DEC,2018,NORMAL,MA2102,4.0,ALGEBRA,89,80,70,60,50,40,NOV-DEC-2018,0,0,0,0,0
201821407,42.00,41,83.00,A,NOV-DEC,2018,NORMAL,MA2102,4.0,ALGEBRA,89,80,70,60,50,40,NOV-DEC-2018,0,0,0,0,0
201821408,10.40,17,28.00,F,NOV-DEC,2018,NORMAL,MA2102,4.0,ALGEBRA,89,80,70,60,50,40,NOV-DEC-2018,0,0,0,0,0
201821409,40.20,38,79.00,B,NOV-DEC,2018,NORMAL,MA2102,4.0,ALGEBRA,89,80,70,60,50,40,NOV-DEC-2018,0,0,0,0,0
201821410,31.80,44.5,77.00,B,NOV-DEC,2018,NORMAL,MA2102,4.0,ALGEBRA,89,80,70,60,50,40,NOV-DEC-2018,0,0,0,0,0
201821411,15.10,5.5,21.00,F,NOV-DEC,2018,NORMAL,MA2102,4.0,ALGEBRA,89,80,70,60,50,40,NOV-DEC-2018,0,0,0,0,0
