Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20130177,16.75,8.25,25.00,F,NOV-DEC,2018,BACK,PH1103,4.0_3.0,ENGINEERING PHYSICS _12 13 14 15 16 17 18__4CR UPTO 16 & 18  3CR FOR 17_,86.000000,76.000000,65.000000,55.000000,45.000000,35.000000,NOV-DEC-2018,0,0,0,0,0
20130437,16.20,22.75,39.00,E,NOV-DEC,2018,BACK,PH1103,4.0_3.0,ENGINEERING PHYSICS _12 13 14 15 16 17 18__4CR UPTO 16 & 18  3CR FOR 17_,86.000000,76.000000,65.000000,55.000000,45.000000,35.000000,NOV-DEC-2018,0,0,0,0,0
20140158,11.70,9.25,21.00,F,NOV-DEC,2018,BACK,PH1103,4.0_3.0,ENGINEERING PHYSICS _12 13 14 15 16 17 18__4CR UPTO 16 & 18  3CR FOR 17_,86.000000,76.000000,65.000000,55.000000,45.000000,35.000000,NOV-DEC-2018,0,0,0,0,0
20140159,21.49,17,39.00,E,NOV-DEC,2018,BACK,PH1103,4.0_3.0,ENGINEERING PHYSICS _12 13 14 15 16 17 18__4CR UPTO 16 & 18  3CR FOR 17_,86.000000,76.000000,65.000000,55.000000,45.000000,35.000000,NOV-DEC-2018,0,0,0,0,0
20140188,16.65,20,37.00,E,NOV-DEC,2018,BACK,PH1103,4.0_3.0,ENGINEERING PHYSICS _12 13 14 15 16 17 18__4CR UPTO 16 & 18  3CR FOR 17_,86.000000,76.000000,65.000000,55.000000,45.000000,35.000000,NOV-DEC-2018,0,0,0,0,0
20140405,17.65,21.5,40.00,E,NOV-DEC,2018,BACK,PH1103,4.0_3.0,ENGINEERING PHYSICS _12 13 14 15 16 17 18__4CR UPTO 16 & 18  3CR FOR 17_,86.000000,76.000000,65.000000,55.000000,45.000000,35.000000,NOV-DEC-2018,0,0,0,0,0
20140602,13.40,AB,0.00,I,NOV-DEC,2018,BACK,PH1103,4.0_3.0,ENGINEERING PHYSICS _12 13 14 15 16 17 18__4CR UPTO 16 & 18  3CR FOR 17_,86.000000,76.000000,65.000000,55.000000,45.000000,35.000000,NOV-DEC-2018,0,0,0,0,0
20140655,9.65,2,12.00,F,NOV-DEC,2018,BACK,PH1103,4.0_3.0,ENGINEERING PHYSICS _12 13 14 15 16 17 18__4CR UPTO 16 & 18  3CR FOR 17_,86.000000,76.000000,65.000000,55.000000,45.000000,35.000000,NOV-DEC-2018,0,0,0,0,0
201500037,18.05,AB,0.00,I,NOV-DEC,2018,BACK,PH1103,4.0_3.0,ENGINEERING PHYSICS _12 13 14 15 16 17 18__4CR UPTO 16 & 18  3CR FOR 17_,86.000000,76.000000,65.000000,55.000000,45.000000,35.000000,NOV-DEC-2018,0,0,0,0,0
201500060,18.20,18.25,37.00,E,NOV-DEC,2018,BACK,PH1103,4.0_3.0,ENGINEERING PHYSICS _12 13 14 15 16 17 18__4CR UPTO 16 & 18  3CR FOR 17_,86.000000,76.000000,65.000000,55.000000,45.000000,35.000000,NOV-DEC-2018,0,0,0,0,0
