Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
201821201,38.95,41.75,81.00,A,NOV-DEC,2018,NORMAL,PH2102,4.0,FUNDAMENTAL OF ELECTRONICS,89.000000,78.000000,68.000000,57.000000,47.000000,36.000000,NOV-DEC-2018,1,0,1,0,20
201821202,37.25,37.5,75.00,B,NOV-DEC,2018,NORMAL,PH2102,4.0,FUNDAMENTAL OF ELECTRONICS,89.000000,78.000000,68.000000,57.000000,47.000000,36.000000,NOV-DEC-2018,1,0,1,0,20
201821203,35.45,29,65.00,C,NOV-DEC,2018,NORMAL,PH2102,4.0,FUNDAMENTAL OF ELECTRONICS,89.000000,78.000000,68.000000,57.000000,47.000000,36.000000,NOV-DEC-2018,1,0,1,0,20
201821204,28.25,24.5,53.00,D,NOV-DEC,2018,NORMAL,PH2102,4.0,FUNDAMENTAL OF ELECTRONICS,89.000000,78.000000,68.000000,57.000000,47.000000,36.000000,NOV-DEC-2018,1,0,1,0,20
201821205,24.00,26.5,51.00,D,NOV-DEC,2018,NORMAL,PH2102,4.0,FUNDAMENTAL OF ELECTRONICS,89.000000,78.000000,68.000000,57.000000,47.000000,36.000000,NOV-DEC-2018,1,0,1,0,20
201821206,34.15,33,68.00,B,NOV-DEC,2018,NORMAL,PH2102,4.0,FUNDAMENTAL OF ELECTRONICS,89.000000,78.000000,68.000000,57.000000,47.000000,36.000000,NOV-DEC-2018,1,0,1,0,20
201821207,46.40,46.5,93.00,S,NOV-DEC,2018,NORMAL,PH2102,4.0,FUNDAMENTAL OF ELECTRONICS,89.000000,78.000000,68.000000,57.000000,47.000000,36.000000,NOV-DEC-2018,1,0,1,0,20
201821208,42.95,37.4,81.00,A,NOV-DEC,2018,NORMAL,PH2102,4.0,FUNDAMENTAL OF ELECTRONICS,89.000000,78.000000,68.000000,57.000000,47.000000,36.000000,NOV-DEC-2018,1,0,1,0,20
201821209,31.40,22.5,54.00,D,NOV-DEC,2018,NORMAL,PH2102,4.0,FUNDAMENTAL OF ELECTRONICS,89.000000,78.000000,68.000000,57.000000,47.000000,36.000000,NOV-DEC-2018,1,0,1,0,20
201821210,28.15,28.5,57.00,C,NOV-DEC,2018,NORMAL,PH2102,4.0,FUNDAMENTAL OF ELECTRONICS,89.000000,78.000000,68.000000,57.000000,47.000000,36.000000,NOV-DEC-2018,1,0,1,0,20
201821211,0.00,DT,0.00,DT,NOV-DEC,2018,NORMAL,PH2102,4.0,FUNDAMENTAL OF ELECTRONICS,89.000000,78.000000,68.000000,57.000000,47.000000,36.000000,NOV-DEC-2018,1,0,1,0,20
201821212,23.20,AB,0.00,I,NOV-DEC,2018,NORMAL,PH2102,4.0,FUNDAMENTAL OF ELECTRONICS,89.000000,78.000000,68.000000,57.000000,47.000000,36.000000,NOV-DEC-2018,1,0,1,0,20
201821213,21.10,19.5,41.00,E,NOV-DEC,2018,NORMAL,PH2102,4.0,FUNDAMENTAL OF ELECTRONICS,89.000000,78.000000,68.000000,57.000000,47.000000,36.000000,NOV-DEC-2018,1,0,1,0,20
201821214,45.55,37,83.00,A,NOV-DEC,2018,NORMAL,PH2102,4.0,FUNDAMENTAL OF ELECTRONICS,89.000000,78.000000,68.000000,57.000000,47.000000,36.000000,NOV-DEC-2018,1,0,1,0,20
201821215,29.65,24,54.00,D,NOV-DEC,2018,NORMAL,PH2102,4.0,FUNDAMENTAL OF ELECTRONICS,89.000000,78.000000,68.000000,57.000000,47.000000,36.000000,NOV-DEC-2018,1,0,1,0,20
201821216,24.30,26,51.00,D,NOV-DEC,2018,NORMAL,PH2102,4.0,FUNDAMENTAL OF ELECTRONICS,89.000000,78.000000,68.000000,57.000000,47.000000,36.000000,NOV-DEC-2018,1,0,1,0,20
201821218,30.55,31.5,63.00,C,NOV-DEC,2018,NORMAL,PH2102,4.0,FUNDAMENTAL OF ELECTRONICS,89.000000,78.000000,68.000000,57.000000,47.000000,36.000000,NOV-DEC-2018,1,0,1,0,20
201821219,32.60,28.5,62.00,C,NOV-DEC,2018,NORMAL,PH2102,4.0,FUNDAMENTAL OF ELECTRONICS,89.000000,78.000000,68.000000,57.000000,47.000000,36.000000,NOV-DEC-2018,1,0,1,0,20
201821220,44.05,42,87.00,A,NOV-DEC,2018,NORMAL,PH2102,4.0,FUNDAMENTAL OF ELECTRONICS,89.000000,78.000000,68.000000,57.000000,47.000000,36.000000,NOV-DEC-2018,1,0,1,0,20
201821221,42.15,44,87.00,A,NOV-DEC,2018,NORMAL,PH2102,4.0,FUNDAMENTAL OF ELECTRONICS,89.000000,78.000000,68.000000,57.000000,47.000000,36.000000,NOV-DEC-2018,1,0,1,0,20
201821222,34.85,31,66.00,C,NOV-DEC,2018,NORMAL,PH2102,4.0,FUNDAMENTAL OF ELECTRONICS,89.000000,78.000000,68.000000,57.000000,47.000000,36.000000,NOV-DEC-2018,1,0,1,0,20
201821223,30.85,20.5,52.00,D,NOV-DEC,2018,NORMAL,PH2102,4.0,FUNDAMENTAL OF ELECTRONICS,89.000000,78.000000,68.000000,57.000000,47.000000,36.000000,NOV-DEC-2018,1,0,1,0,20
