Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
201019001,33.02,36.5,70.00,B,NOV_DEC,2012,NORMAL,BBA_MM_501,3.0,ELECTIVE _CUSTOMER RELATION MANAGEMENT_,80.000000,73.000000,66.000000,59.000000,52.000000,45.000000,NOV_DEC_2012,0,0,0,1,30
201019002,38.35,35,74.00,A,NOV_DEC,2012,NORMAL,BBA_MM_501,3.0,ELECTIVE _CUSTOMER RELATION MANAGEMENT_,80.000000,73.000000,66.000000,59.000000,52.000000,45.000000,NOV_DEC_2012,0,0,0,1,30
201019003,28.20,30.5,59.00,C,NOV_DEC,2012,NORMAL,BBA_MM_501,3.0,ELECTIVE _CUSTOMER RELATION MANAGEMENT_,80.000000,73.000000,66.000000,59.000000,52.000000,45.000000,NOV_DEC_2012,0,0,0,1,30
201019004,26.05,27.5,54.00,D,NOV_DEC,2012,NORMAL,BBA_MM_501,3.0,ELECTIVE _CUSTOMER RELATION MANAGEMENT_,80.000000,73.000000,66.000000,59.000000,52.000000,45.000000,NOV_DEC_2012,0,0,0,1,30
201019005,24.85,22.5,48.00,E,NOV_DEC,2012,NORMAL,BBA_MM_501,3.0,ELECTIVE _CUSTOMER RELATION MANAGEMENT_,80.000000,73.000000,66.000000,59.000000,52.000000,45.000000,NOV_DEC_2012,0,0,0,1,30
201019006,29.50,30,60.00,C,NOV_DEC,2012,NORMAL,BBA_MM_501,3.0,ELECTIVE _CUSTOMER RELATION MANAGEMENT_,80.000000,73.000000,66.000000,59.000000,52.000000,45.000000,NOV_DEC_2012,0,0,0,1,30
201019007,39.95,38,78.00,A,NOV_DEC,2012,NORMAL,BBA_MM_501,3.0,ELECTIVE _CUSTOMER RELATION MANAGEMENT_,80.000000,73.000000,66.000000,59.000000,52.000000,45.000000,NOV_DEC_2012,0,0,0,1,30
201019008,39.95,37.5,78.00,A,NOV_DEC,2012,NORMAL,BBA_MM_501,3.0,ELECTIVE _CUSTOMER RELATION MANAGEMENT_,80.000000,73.000000,66.000000,59.000000,52.000000,45.000000,NOV_DEC_2012,0,0,0,1,30
201019011,31.10,29.5,61.00,C,NOV_DEC,2012,NORMAL,BBA_MM_501,3.0,ELECTIVE _CUSTOMER RELATION MANAGEMENT_,80.000000,73.000000,66.000000,59.000000,52.000000,45.000000,NOV_DEC_2012,0,0,0,1,30
201019012,32.05,28.5,61.00,C,NOV_DEC,2012,NORMAL,BBA_MM_501,3.0,ELECTIVE _CUSTOMER RELATION MANAGEMENT_,80.000000,73.000000,66.000000,59.000000,52.000000,45.000000,NOV_DEC_2012,0,0,0,1,30
