Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
200811022,29.95,38.25,69.00,B,NOV_DEC,2012,NORMAL,CSE703_MCA506,3.0,PRINCIPLES OF PROGRAMMING LANGUAGES _ELECTIVE III_,81.000000,73.000000,64.000000,56.000000,47.000000,39.000000,NOV_DEC_2012,5,0,1,0,51
200811079,13.45,19.25,33.00,F,NOV_DEC,2012,NORMAL,CSE703_MCA506,3.0,PRINCIPLES OF PROGRAMMING LANGUAGES _ELECTIVE III_,81.000000,73.000000,64.000000,56.000000,47.000000,39.000000,NOV_DEC_2012,5,0,1,0,51
200811089,15.10,34.75,50.00,D,NOV_DEC,2012,NORMAL,CSE703_MCA506,3.0,PRINCIPLES OF PROGRAMMING LANGUAGES _ELECTIVE III_,81.000000,73.000000,64.000000,56.000000,47.000000,39.000000,NOV_DEC_2012,5,0,1,0,51
200911004,0.00,DT,0.00,DT,NOV_DEC,2012,NORMAL,CSE703_MCA506,3.0,PRINCIPLES OF PROGRAMMING LANGUAGES _ELECTIVE III_,81.000000,73.000000,64.000000,56.000000,47.000000,39.000000,NOV_DEC_2012,5,0,1,0,51
200911008,31.55,31.75,64.00,B,NOV_DEC,2012,NORMAL,CSE703_MCA506,3.0,PRINCIPLES OF PROGRAMMING LANGUAGES _ELECTIVE III_,81.000000,73.000000,64.000000,56.000000,47.000000,39.000000,NOV_DEC_2012,5,0,1,0,51
200911014,30.50,31,62.00,C,NOV_DEC,2012,NORMAL,CSE703_MCA506,3.0,PRINCIPLES OF PROGRAMMING LANGUAGES _ELECTIVE III_,81.000000,73.000000,64.000000,56.000000,47.000000,39.000000,NOV_DEC_2012,5,0,1,0,51
200911018,22.90,31.25,55.00,D,NOV_DEC,2012,NORMAL,CSE703_MCA506,3.0,PRINCIPLES OF PROGRAMMING LANGUAGES _ELECTIVE III_,81.000000,73.000000,64.000000,56.000000,47.000000,39.000000,NOV_DEC_2012,5,0,1,0,51
200911049,29.45,22,52.00,D,NOV_DEC,2012,NORMAL,CSE703_MCA506,3.0,PRINCIPLES OF PROGRAMMING LANGUAGES _ELECTIVE III_,81.000000,73.000000,64.000000,56.000000,47.000000,39.000000,NOV_DEC_2012,5,0,1,0,51
200911051,31.95,37.5,70.00,B,NOV_DEC,2012,NORMAL,CSE703_MCA506,3.0,PRINCIPLES OF PROGRAMMING LANGUAGES _ELECTIVE III_,81.000000,73.000000,64.000000,56.000000,47.000000,39.000000,NOV_DEC_2012,5,0,1,0,51
200911056,22.70,29.5,53.00,D,NOV_DEC,2012,NORMAL,CSE703_MCA506,3.0,PRINCIPLES OF PROGRAMMING LANGUAGES _ELECTIVE III_,81.000000,73.000000,64.000000,56.000000,47.000000,39.000000,NOV_DEC_2012,5,0,1,0,51
200911062,31.40,34.5,66.00,B,NOV_DEC,2012,NORMAL,CSE703_MCA506,3.0,PRINCIPLES OF PROGRAMMING LANGUAGES _ELECTIVE III_,81.000000,73.000000,64.000000,56.000000,47.000000,39.000000,NOV_DEC_2012,5,0,1,0,51
200911063,29.30,30.25,60.00,C,NOV_DEC,2012,NORMAL,CSE703_MCA506,3.0,PRINCIPLES OF PROGRAMMING LANGUAGES _ELECTIVE III_,81.000000,73.000000,64.000000,56.000000,47.000000,39.000000,NOV_DEC_2012,5,0,1,0,51
200911067,10.60,18.75,30.00,F,NOV_DEC,2012,NORMAL,CSE703_MCA506,3.0,PRINCIPLES OF PROGRAMMING LANGUAGES _ELECTIVE III_,81.000000,73.000000,64.000000,56.000000,47.000000,39.000000,NOV_DEC_2012,5,0,1,0,51
200911089,29.30,AB,0.00,I,NOV_DEC,2012,NORMAL,CSE703_MCA506,3.0,PRINCIPLES OF PROGRAMMING LANGUAGES _ELECTIVE III_,81.000000,73.000000,64.000000,56.000000,47.000000,39.000000,NOV_DEC_2012,5,0,1,0,51
200911090,32.80,35.5,69.00,B,NOV_DEC,2012,NORMAL,CSE703_MCA506,3.0,PRINCIPLES OF PROGRAMMING LANGUAGES _ELECTIVE III_,81.000000,73.000000,64.000000,56.000000,47.000000,39.000000,NOV_DEC_2012,5,0,1,0,51
200911094,23.95,31,55.00,D,NOV_DEC,2012,NORMAL,CSE703_MCA506,3.0,PRINCIPLES OF PROGRAMMING LANGUAGES _ELECTIVE III_,81.000000,73.000000,64.000000,56.000000,47.000000,39.000000,NOV_DEC_2012,5,0,1,0,51
200911096,36.20,33,70.00,B,NOV_DEC,2012,NORMAL,CSE703_MCA506,3.0,PRINCIPLES OF PROGRAMMING LANGUAGES _ELECTIVE III_,81.000000,73.000000,64.000000,56.000000,47.000000,39.000000,NOV_DEC_2012,5,0,1,0,51
200911097,30.30,33,64.00,B,NOV_DEC,2012,NORMAL,CSE703_MCA506,3.0,PRINCIPLES OF PROGRAMMING LANGUAGES _ELECTIVE III_,81.000000,73.000000,64.000000,56.000000,47.000000,39.000000,NOV_DEC_2012,5,0,1,0,51
200911104,27.40,29.75,58.00,C,NOV_DEC,2012,NORMAL,CSE703_MCA506,3.0,PRINCIPLES OF PROGRAMMING LANGUAGES _ELECTIVE III_,81.000000,73.000000,64.000000,56.000000,47.000000,39.000000,NOV_DEC_2012,5,0,1,0,51
200911112,27.25,33.5,61.00,C,NOV_DEC,2012,NORMAL,CSE703_MCA506,3.0,PRINCIPLES OF PROGRAMMING LANGUAGES _ELECTIVE III_,81.000000,73.000000,64.000000,56.000000,47.000000,39.000000,NOV_DEC_2012,5,0,1,0,51
200911114,38.30,42.75,82.00,S,NOV_DEC,2012,NORMAL,CSE703_MCA506,3.0,PRINCIPLES OF PROGRAMMING LANGUAGES _ELECTIVE III_,81.000000,73.000000,64.000000,56.000000,47.000000,39.000000,NOV_DEC_2012,5,0,1,0,51
200911118,28.50,38.5,67.00,B,NOV_DEC,2012,NORMAL,CSE703_MCA506,3.0,PRINCIPLES OF PROGRAMMING LANGUAGES _ELECTIVE III_,81.000000,73.000000,64.000000,56.000000,47.000000,39.000000,NOV_DEC_2012,5,0,1,0,51
200912091,36.35,35,72.00,B,NOV_DEC,2012,NORMAL,CSE703_MCA506,3.0,PRINCIPLES OF PROGRAMMING LANGUAGES _ELECTIVE III_,81.000000,73.000000,64.000000,56.000000,47.000000,39.000000,NOV_DEC_2012,5,0,1,0,51
200913066,33.95,31.5,66.00,B,NOV_DEC,2012,NORMAL,CSE703_MCA506,3.0,PRINCIPLES OF PROGRAMMING LANGUAGES _ELECTIVE III_,81.000000,73.000000,64.000000,56.000000,47.000000,39.000000,NOV_DEC_2012,5,0,1,0,51
