Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
201022022,13.50,8,22.00,F,NOV_DEC,2012,NORMAL,MCA301,4.0,SYSTEM SIMULATION & MODELING,90.000000,81.000000,72.000000,62.000000,53.000000,44.000000,NOV_DEC_2012,0,0,0,0,36
201122001,44.50,46.5,91.00,S,NOV_DEC,2012,NORMAL,MCA301,4.0,SYSTEM SIMULATION & MODELING,90.000000,81.000000,72.000000,62.000000,53.000000,44.000000,NOV_DEC_2012,0,0,0,0,36
201122002,34.50,39.5,74.00,B,NOV_DEC,2012,NORMAL,MCA301,4.0,SYSTEM SIMULATION & MODELING,90.000000,81.000000,72.000000,62.000000,53.000000,44.000000,NOV_DEC_2012,0,0,0,0,36
201122003,27.50,22.5,50.00,E,NOV_DEC,2012,NORMAL,MCA301,4.0,SYSTEM SIMULATION & MODELING,90.000000,81.000000,72.000000,62.000000,53.000000,44.000000,NOV_DEC_2012,0,0,0,0,36
201122004,22.50,26,49.00,E,NOV_DEC,2012,NORMAL,MCA301,4.0,SYSTEM SIMULATION & MODELING,90.000000,81.000000,72.000000,62.000000,53.000000,44.000000,NOV_DEC_2012,0,0,0,0,36
201122007,38.50,37.5,76.00,B,NOV_DEC,2012,NORMAL,MCA301,4.0,SYSTEM SIMULATION & MODELING,90.000000,81.000000,72.000000,62.000000,53.000000,44.000000,NOV_DEC_2012,0,0,0,0,36
201122008,34.50,42,77.00,B,NOV_DEC,2012,NORMAL,MCA301,4.0,SYSTEM SIMULATION & MODELING,90.000000,81.000000,72.000000,62.000000,53.000000,44.000000,NOV_DEC_2012,0,0,0,0,36
201122010,32.50,37.5,70.00,C,NOV_DEC,2012,NORMAL,MCA301,4.0,SYSTEM SIMULATION & MODELING,90.000000,81.000000,72.000000,62.000000,53.000000,44.000000,NOV_DEC_2012,0,0,0,0,36
201122011,30.00,38,68.00,C,NOV_DEC,2012,NORMAL,MCA301,4.0,SYSTEM SIMULATION & MODELING,90.000000,81.000000,72.000000,62.000000,53.000000,44.000000,NOV_DEC_2012,0,0,0,0,36
201122013,41.50,44,86.00,A,NOV_DEC,2012,NORMAL,MCA301,4.0,SYSTEM SIMULATION & MODELING,90.000000,81.000000,72.000000,62.000000,53.000000,44.000000,NOV_DEC_2012,0,0,0,0,36
201122014,39.00,35,74.00,B,NOV_DEC,2012,NORMAL,MCA301,4.0,SYSTEM SIMULATION & MODELING,90.000000,81.000000,72.000000,62.000000,53.000000,44.000000,NOV_DEC_2012,0,0,0,0,36
201122015,35.50,40,76.00,B,NOV_DEC,2012,NORMAL,MCA301,4.0,SYSTEM SIMULATION & MODELING,90.000000,81.000000,72.000000,62.000000,53.000000,44.000000,NOV_DEC_2012,0,0,0,0,36
201122016,35.50,37,73.00,B,NOV_DEC,2012,NORMAL,MCA301,4.0,SYSTEM SIMULATION & MODELING,90.000000,81.000000,72.000000,62.000000,53.000000,44.000000,NOV_DEC_2012,0,0,0,0,36
201122017,27.00,29.5,57.00,D,NOV_DEC,2012,NORMAL,MCA301,4.0,SYSTEM SIMULATION & MODELING,90.000000,81.000000,72.000000,62.000000,53.000000,44.000000,NOV_DEC_2012,0,0,0,0,36
201122018,33.00,35,68.00,C,NOV_DEC,2012,NORMAL,MCA301,4.0,SYSTEM SIMULATION & MODELING,90.000000,81.000000,72.000000,62.000000,53.000000,44.000000,NOV_DEC_2012,0,0,0,0,36
201122019,40.50,41,82.00,A,NOV_DEC,2012,NORMAL,MCA301,4.0,SYSTEM SIMULATION & MODELING,90.000000,81.000000,72.000000,62.000000,53.000000,44.000000,NOV_DEC_2012,0,0,0,0,36
201122020,41.00,41.5,83.00,A,NOV_DEC,2012,NORMAL,MCA301,4.0,SYSTEM SIMULATION & MODELING,90.000000,81.000000,72.000000,62.000000,53.000000,44.000000,NOV_DEC_2012,0,0,0,0,36
