Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20121541,35.85,26.75,63.00,C,NOV_DEC,2012,NORMAL,MCSE103,4.0,ADVANCED SOFTWARE ENGINEERING,89,80,70,60,50,40,NOV_DEC_2012,0,0,0,0,0
20121542,33.80,0.5,35.00,F,NOV_DEC,2012,NORMAL,MCSE103,4.0,ADVANCED SOFTWARE ENGINEERING,89,80,70,60,50,40,NOV_DEC_2012,0,0,0,0,0
20121543,34.75,20,55.00,D,NOV_DEC,2012,NORMAL,MCSE103,4.0,ADVANCED SOFTWARE ENGINEERING,89,80,70,60,50,40,NOV_DEC_2012,0,0,0,0,0
20121544,26.10,17.5,44.00,E,NOV_DEC,2012,NORMAL,MCSE103,4.0,ADVANCED SOFTWARE ENGINEERING,89,80,70,60,50,40,NOV_DEC_2012,0,0,0,0,0
20121547,27.70,23.5,52.00,D,NOV_DEC,2012,NORMAL,MCSE103,4.0,ADVANCED SOFTWARE ENGINEERING,89,80,70,60,50,40,NOV_DEC_2012,0,0,0,0,0
20121548,45.20,36.5,82.00,A,NOV_DEC,2012,NORMAL,MCSE103,4.0,ADVANCED SOFTWARE ENGINEERING,89,80,70,60,50,40,NOV_DEC_2012,0,0,0,0,0
20121550,29.70,17.75,48.00,E,NOV_DEC,2012,NORMAL,MCSE103,4.0,ADVANCED SOFTWARE ENGINEERING,89,80,70,60,50,40,NOV_DEC_2012,0,0,0,0,0
20121551,38.00,26.25,65.00,C,NOV_DEC,2012,NORMAL,MCSE103,4.0,ADVANCED SOFTWARE ENGINEERING,89,80,70,60,50,40,NOV_DEC_2012,0,0,0,0,0
20121553,24.60,AB,0.00,I,NOV_DEC,2012,NORMAL,MCSE103,4.0,ADVANCED SOFTWARE ENGINEERING,89,80,70,60,50,40,NOV_DEC_2012,0,0,0,0,0
20121557,33.45,23.25,57.00,D,NOV_DEC,2012,NORMAL,MCSE103,4.0,ADVANCED SOFTWARE ENGINEERING,89,80,70,60,50,40,NOV_DEC_2012,0,0,0,0,0
