Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
200928013,16.90,AB,0.00,I,NOV_DEC,2013,BACK,COA104_COB204_NEW__COB104_COA204_OLD_,4.0,ELEMENTS OF MECHANICAL ENGINEERING,80.000000,0,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2013,0,0,0,0,0
201012091,16.85,AB,0.00,I,NOV_DEC,2013,BACK,COA104_COB204_NEW__COB104_COA204_OLD_,4.0,ELEMENTS OF MECHANICAL ENGINEERING,80.000000,0,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2013,0,0,0,0,0
201011047,18.00,15,33.00,F,NOV_DEC,2013,BACK,COA104_COB204_NEW__COB104_COA204_OLD_,4.0,ELEMENTS OF MECHANICAL ENGINEERING,80.000000,0,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2013,0,0,0,0,0
201011088,18.20,AB,0.00,I,NOV_DEC,2013,BACK,COA104_COB204_NEW__COB104_COA204_OLD_,4.0,ELEMENTS OF MECHANICAL ENGINEERING,80.000000,0,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2013,0,0,0,0,0
20110546,17.50,AB,0.00,I,NOV_DEC,2013,BACK,COA104_COB204_NEW__COB104_COA204_OLD_,4.0,ELEMENTS OF MECHANICAL ENGINEERING,80.000000,0,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2013,0,0,0,0,0
20120032,22.70,AB,0.00,I,NOV_DEC,2013,BACK,COA104_COB204_NEW__COB104_COA204_OLD_,4.0,ELEMENTS OF MECHANICAL ENGINEERING,80.000000,0,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2013,0,0,0,0,0
20120092,5.90,AB,0.00,I,NOV_DEC,2013,BACK,COA104_COB204_NEW__COB104_COA204_OLD_,4.0,ELEMENTS OF MECHANICAL ENGINEERING,80.000000,0,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2013,0,0,0,0,0
20120317,15.30,AB,0.00,I,NOV_DEC,2013,BACK,COA104_COB204_NEW__COB104_COA204_OLD_,4.0,ELEMENTS OF MECHANICAL ENGINEERING,80.000000,0,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2013,0,0,0,0,0
20120357,19.00,5.5,25.00,F,NOV_DEC,2013,BACK,COA104_COB204_NEW__COB104_COA204_OLD_,4.0,ELEMENTS OF MECHANICAL ENGINEERING,80.000000,0,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2013,0,0,0,0,0
20120371,22.45,8,31.00,F,NOV_DEC,2013,BACK,COA104_COB204_NEW__COB104_COA204_OLD_,4.0,ELEMENTS OF MECHANICAL ENGINEERING,80.000000,0,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2013,0,0,0,0,0
20120412,21.97,AB,0.00,I,NOV_DEC,2013,BACK,COA104_COB204_NEW__COB104_COA204_OLD_,4.0,ELEMENTS OF MECHANICAL ENGINEERING,80.000000,0,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2013,0,0,0,0,0
20120452,19.70,AB,0.00,I,NOV_DEC,2013,BACK,COA104_COB204_NEW__COB104_COA204_OLD_,4.0,ELEMENTS OF MECHANICAL ENGINEERING,80.000000,0,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2013,0,0,0,0,0
20120485,10.80,18.25,30.00,F,NOV_DEC,2013,BACK,COA104_COB204_NEW__COB104_COA204_OLD_,4.0,ELEMENTS OF MECHANICAL ENGINEERING,80.000000,0,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2013,0,0,0,0,0
20120545,18.00,18,36.00,E,NOV_DEC,2013,BACK,COA104_COB204_NEW__COB104_COA204_OLD_,4.0,ELEMENTS OF MECHANICAL ENGINEERING,80.000000,0,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2013,0,0,0,0,0
20120657,13.40,31,45.00,D,NOV_DEC,2013,BACK,COA104_COB204_NEW__COB104_COA204_OLD_,4.0,ELEMENTS OF MECHANICAL ENGINEERING,80.000000,0,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2013,0,0,0,0,0
20120270,16.7,17.5,35.00,E,NOV_DEC,2013,BACK,COA104_COB204_NEW__COB104_COA204_OLD_,4.0,ELEMENTS OF MECHANICAL ENGINEERING,80.000000,0,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2013,0,0,0,0,0
