Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
201011121,17.50,17.75,36.00,E,NOV_DEC,2013,BACK,COB102_COA202_NEW__COA105_COB205_OLD_,4.0,BASIC ELECTRONICS,90.000000,0,68.000000,57.000000,46.000000,35.000000,NOV_DEC_2013,0,0,0,0,0
20110434,14.40,13.25,28.00,F,NOV_DEC,2013,BACK,COB102_COA202_NEW__COA105_COB205_OLD_,4.0,BASIC ELECTRONICS,90.000000,0,68.000000,57.000000,46.000000,35.000000,NOV_DEC_2013,0,0,0,0,0
20120123,19.70,18.75,39.00,E,NOV_DEC,2013,BACK,COB102_COA202_NEW__COA105_COB205_OLD_,4.0,BASIC ELECTRONICS,90.000000,0,68.000000,57.000000,46.000000,35.000000,NOV_DEC_2013,0,0,0,0,0
20120426,22.80,20,43.00,E,NOV_DEC,2013,BACK,COB102_COA202_NEW__COA105_COB205_OLD_,4.0,BASIC ELECTRONICS,90.000000,0,68.000000,57.000000,46.000000,35.000000,NOV_DEC_2013,0,0,0,0,0
20120427,24.20,16.25,41.00,F,NOV_DEC,2013,BACK,COB102_COA202_NEW__COA105_COB205_OLD_,4.0,BASIC ELECTRONICS,90.000000,0,68.000000,57.000000,46.000000,35.000000,NOV_DEC_2013,0,0,0,0,0
20120453,20.00,14.25,35.00,F,NOV_DEC,2013,BACK,COB102_COA202_NEW__COA105_COB205_OLD_,4.0,BASIC ELECTRONICS,90.000000,0,68.000000,57.000000,46.000000,35.000000,NOV_DEC_2013,0,0,0,0,0
20120499,19.00,14,33.00,F,NOV_DEC,2013,BACK,COB102_COA202_NEW__COA105_COB205_OLD_,4.0,BASIC ELECTRONICS,90.000000,0,68.000000,57.000000,46.000000,35.000000,NOV_DEC_2013,0,0,0,0,0
20120092,5.20,AB,0.00,I,NOV_DEC,2013,BACK,COB102_COA202_NEW__COA105_COB205_OLD_,4.0,BASIC ELECTRONICS,90.000000,0,68.000000,57.000000,46.000000,35.000000,NOV_DEC_2013,0,0,0,0,0
20120093,18.80,19.5,39.00,E,NOV_DEC,2013,BACK,COB102_COA202_NEW__COA105_COB205_OLD_,4.0,BASIC ELECTRONICS,90.000000,0,68.000000,57.000000,46.000000,35.000000,NOV_DEC_2013,0,0,0,0,0
20120319,13.60,AB,0.00,I,NOV_DEC,2013,BACK,COB102_COA202_NEW__COA105_COB205_OLD_,4.0,BASIC ELECTRONICS,90.000000,0,68.000000,57.000000,46.000000,35.000000,NOV_DEC_2013,0,0,0,0,0
20120357,13.35,9.5,23.00,F,NOV_DEC,2013,BACK,COB102_COA202_NEW__COA105_COB205_OLD_,4.0,BASIC ELECTRONICS,90.000000,0,68.000000,57.000000,46.000000,35.000000,NOV_DEC_2013,0,0,0,0,0
20120370,12.40,AB,0.00,I,NOV_DEC,2013,BACK,COB102_COA202_NEW__COA105_COB205_OLD_,4.0,BASIC ELECTRONICS,90.000000,0,68.000000,57.000000,46.000000,35.000000,NOV_DEC_2013,0,0,0,0,0
20121103,16.70,11.25,28.00,F,NOV_DEC,2013,BACK,COB102_COA202_NEW__COA105_COB205_OLD_,4.0,BASIC ELECTRONICS,90.000000,0,68.000000,57.000000,46.000000,35.000000,NOV_DEC_2013,0,0,0,0,0
