Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20110234,10.00,17.5,28.00,F,NOV_DEC,2013,NORMAL,EC301_EE301_ME301_IE301,4.0,ENGINEERING MATHEMATICS III,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2013,15,0,26,2,372
20110266,0.00,DT,0.00,DT,NOV_DEC,2013,NORMAL,EC301_EE301_ME301_IE301,4.0,ENGINEERING MATHEMATICS III,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2013,15,0,26,2,372
20110279,0.00,DT,0.00,DT,NOV_DEC,2013,NORMAL,EC301_EE301_ME301_IE301,4.0,ENGINEERING MATHEMATICS III,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2013,15,0,26,2,372
20110563,0.00,DT,0.00,DT,NOV_DEC,2013,NORMAL,EC301_EE301_ME301_IE301,4.0,ENGINEERING MATHEMATICS III,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2013,15,0,26,2,372
201012032,19.40,12.5,32.00,F,NOV_DEC,2013,NORMAL,EC301_EE301_ME301_IE301,4.0,ENGINEERING MATHEMATICS III,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2013,15,0,26,2,372
20120001,20.20,19,40.00,E,NOV_DEC,2013,NORMAL,EC301_EE301_ME301_IE301,4.0,ENGINEERING MATHEMATICS III,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2013,15,0,26,2,372
20120013,24.50,21.5,46.00,D,NOV_DEC,2013,NORMAL,EC301_EE301_ME301_IE301,4.0,ENGINEERING MATHEMATICS III,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2013,15,0,26,2,372
20120014,18.80,26,45.00,D,NOV_DEC,2013,NORMAL,EC301_EE301_ME301_IE301,4.0,ENGINEERING MATHEMATICS III,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2013,15,0,26,2,372
20120015,18.10,24,43.00,E,NOV_DEC,2013,NORMAL,EC301_EE301_ME301_IE301,4.0,ENGINEERING MATHEMATICS III,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2013,15,0,26,2,372
20120017,22.70,18,41.00,E,NOV_DEC,2013,NORMAL,EC301_EE301_ME301_IE301,4.0,ENGINEERING MATHEMATICS III,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2013,15,0,26,2,372
20120026,13.40,10,24.00,F,NOV_DEC,2013,NORMAL,EC301_EE301_ME301_IE301,4.0,ENGINEERING MATHEMATICS III,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2013,15,0,26,2,372
20120028,13.80,9,23.00,F,NOV_DEC,2013,NORMAL,EC301_EE301_ME301_IE301,4.0,ENGINEERING MATHEMATICS III,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2013,15,0,26,2,372
20120033,14.50,8.5,23.00,F,NOV_DEC,2013,NORMAL,EC301_EE301_ME301_IE301,4.0,ENGINEERING MATHEMATICS III,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2013,15,0,26,2,372
20120045,42.50,38,81.00,S,NOV_DEC,2013,NORMAL,EC301_EE301_ME301_IE301,4.0,ENGINEERING MATHEMATICS III,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2013,15,0,26,2,372
20120049,36.90,37.5,75.00,A,NOV_DEC,2013,NORMAL,EC301_EE301_ME301_IE301,4.0,ENGINEERING MATHEMATICS III,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2013,15,0,26,2,372
20120054,14.90,14.5,30.00,F,NOV_DEC,2013,NORMAL,EC301_EE301_ME301_IE301,4.0,ENGINEERING MATHEMATICS III,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2013,15,0,26,2,372
20120058,27.60,17.5,46.00,D,NOV_DEC,2013,NORMAL,EC301_EE301_ME301_IE301,4.0,ENGINEERING MATHEMATICS III,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2013,15,0,26,2,372
20120059,38.80,37,76.00,A,NOV_DEC,2013,NORMAL,EC301_EE301_ME301_IE301,4.0,ENGINEERING MATHEMATICS III,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2013,15,0,26,2,372
20120063,46.50,39.5,86.00,S,NOV_DEC,2013,NORMAL,EC301_EE301_ME301_IE301,4.0,ENGINEERING MATHEMATICS III,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2013,15,0,26,2,372
20120066,37.70,34,72.00,A,NOV_DEC,2013,NORMAL,EC301_EE301_ME301_IE301,4.0,ENGINEERING MATHEMATICS III,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2013,15,0,26,2,372
20120067,26.50,21,48.00,D,NOV_DEC,2013,NORMAL,EC301_EE301_ME301_IE301,4.0,ENGINEERING MATHEMATICS III,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2013,15,0,26,2,372
20120069,41.90,34.5,77.00,A,NOV_DEC,2013,NORMAL,EC301_EE301_ME301_IE301,4.0,ENGINEERING MATHEMATICS III,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2013,15,0,26,2,372
20120072,0.00,DT,0.00,DT,NOV_DEC,2013,NORMAL,EC301_EE301_ME301_IE301,4.0,ENGINEERING MATHEMATICS III,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2013,15,0,26,2,372
20120085,16.60,4,21.00,F,NOV_DEC,2013,NORMAL,EC301_EE301_ME301_IE301,4.0,ENGINEERING MATHEMATICS III,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2013,15,0,26,2,372
20120086,37.60,37.5,76.00,A,NOV_DEC,2013,NORMAL,EC301_EE301_ME301_IE301,4.0,ENGINEERING MATHEMATICS III,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2013,15,0,26,2,372
20120089,29.90,30,60.00,C,NOV_DEC,2013,NORMAL,EC301_EE301_ME301_IE301,4.0,ENGINEERING MATHEMATICS III,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2013,15,0,26,2,372
