Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20110452,28.00,22,50.00,E,NOV_DEC,2014,NORMAL,IE504,4.0,TELEMETRY & REMOTE CONTROL,90.000000,81.000000,72.000000,63.000000,54.000000,45.000000,NOV_DEC_2014,0,0,1,0,22
20110511,36.10,37.5,74.00,B,NOV_DEC,2014,NORMAL,IE504,4.0,TELEMETRY & REMOTE CONTROL,90.000000,81.000000,72.000000,63.000000,54.000000,45.000000,NOV_DEC_2014,0,0,1,0,22
20110515,24.50,15.5,40.00,F,NOV_DEC,2014,NORMAL,IE504,4.0,TELEMETRY & REMOTE CONTROL,90.000000,81.000000,72.000000,63.000000,54.000000,45.000000,NOV_DEC_2014,0,0,1,0,22
20120135,33.50,34,68.00,C,NOV_DEC,2014,NORMAL,IE504,4.0,TELEMETRY & REMOTE CONTROL,90.000000,81.000000,72.000000,63.000000,54.000000,45.000000,NOV_DEC_2014,0,0,1,0,22
20120240,43.60,39,83.00,A,NOV_DEC,2014,NORMAL,IE504,4.0,TELEMETRY & REMOTE CONTROL,90.000000,81.000000,72.000000,63.000000,54.000000,45.000000,NOV_DEC_2014,0,0,1,0,22
20120260,37.50,38,76.00,B,NOV_DEC,2014,NORMAL,IE504,4.0,TELEMETRY & REMOTE CONTROL,90.000000,81.000000,72.000000,63.000000,54.000000,45.000000,NOV_DEC_2014,0,0,1,0,22
20120269,37.00,25.5,63.00,C,NOV_DEC,2014,NORMAL,IE504,4.0,TELEMETRY & REMOTE CONTROL,90.000000,81.000000,72.000000,63.000000,54.000000,45.000000,NOV_DEC_2014,0,0,1,0,22
20120271,45.40,48,94.00,S,NOV_DEC,2014,NORMAL,IE504,4.0,TELEMETRY & REMOTE CONTROL,90.000000,81.000000,72.000000,63.000000,54.000000,45.000000,NOV_DEC_2014,0,0,1,0,22
20120273,43.80,45,89.00,A,NOV_DEC,2014,NORMAL,IE504,4.0,TELEMETRY & REMOTE CONTROL,90.000000,81.000000,72.000000,63.000000,54.000000,45.000000,NOV_DEC_2014,0,0,1,0,22
20120282,41.00,44,85.00,A,NOV_DEC,2014,NORMAL,IE504,4.0,TELEMETRY & REMOTE CONTROL,90.000000,81.000000,72.000000,63.000000,54.000000,45.000000,NOV_DEC_2014,0,0,1,0,22
20120285,0.00,DT,0.00,DT,NOV_DEC,2014,NORMAL,IE504,4.0,TELEMETRY & REMOTE CONTROL,90.000000,81.000000,72.000000,63.000000,54.000000,45.000000,NOV_DEC_2014,0,0,1,0,22
20120287,45.90,38,84.00,A,NOV_DEC,2014,NORMAL,IE504,4.0,TELEMETRY & REMOTE CONTROL,90.000000,81.000000,72.000000,63.000000,54.000000,45.000000,NOV_DEC_2014,0,0,1,0,22
20120289,43.00,41,84.00,A,NOV_DEC,2014,NORMAL,IE504,4.0,TELEMETRY & REMOTE CONTROL,90.000000,81.000000,72.000000,63.000000,54.000000,45.000000,NOV_DEC_2014,0,0,1,0,22
20120291,34.10,34.5,69.00,C,NOV_DEC,2014,NORMAL,IE504,4.0,TELEMETRY & REMOTE CONTROL,90.000000,81.000000,72.000000,63.000000,54.000000,45.000000,NOV_DEC_2014,0,0,1,0,22
20120295,35.90,44.5,81.00,A,NOV_DEC,2014,NORMAL,IE504,4.0,TELEMETRY & REMOTE CONTROL,90.000000,81.000000,72.000000,63.000000,54.000000,45.000000,NOV_DEC_2014,0,0,1,0,22
20120307,31.20,29.5,61.00,D,NOV_DEC,2014,NORMAL,IE504,4.0,TELEMETRY & REMOTE CONTROL,90.000000,81.000000,72.000000,63.000000,54.000000,45.000000,NOV_DEC_2014,0,0,1,0,22
20120310,37.50,36,74.00,B,NOV_DEC,2014,NORMAL,IE504,4.0,TELEMETRY & REMOTE CONTROL,90.000000,81.000000,72.000000,63.000000,54.000000,45.000000,NOV_DEC_2014,0,0,1,0,22
20120708,42.20,34.5,77.00,B,NOV_DEC,2014,NORMAL,IE504,4.0,TELEMETRY & REMOTE CONTROL,90.000000,81.000000,72.000000,63.000000,54.000000,45.000000,NOV_DEC_2014,0,0,1,0,22
20120722,29.50,31,61.00,D,NOV_DEC,2014,NORMAL,IE504,4.0,TELEMETRY & REMOTE CONTROL,90.000000,81.000000,72.000000,63.000000,54.000000,45.000000,NOV_DEC_2014,0,0,1,0,22
20120730,36.00,34,70.00,C,NOV_DEC,2014,NORMAL,IE504,4.0,TELEMETRY & REMOTE CONTROL,90.000000,81.000000,72.000000,63.000000,54.000000,45.000000,NOV_DEC_2014,0,0,1,0,22
20120731,42.20,37.5,80.00,B,NOV_DEC,2014,NORMAL,IE504,4.0,TELEMETRY & REMOTE CONTROL,90.000000,81.000000,72.000000,63.000000,54.000000,45.000000,NOV_DEC_2014,0,0,1,0,22
20120733,40.00,42,82.00,A,NOV_DEC,2014,NORMAL,IE504,4.0,TELEMETRY & REMOTE CONTROL,90.000000,81.000000,72.000000,63.000000,54.000000,45.000000,NOV_DEC_2014,0,0,1,0,22
20110522,21.40,28.5,50.00,E,NOV_DEC,2014,NORMAL,IE504,4.0,TELEMETRY & REMOTE CONTROL,90.000000,81.000000,72.000000,63.000000,54.000000,45.000000,NOV_DEC_2014,0,0,1,0,22
