Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20140433,60.26,10.5,71.00,C,NOV_DEC,2014,NORMAL,PH1162,1.5,ENGINEERING PHYSICS LAB,87.000000,80.000000,72.000000,65.000000,57.000000,50.000000,NOV_DEC_2014,7,0,0,0,286
20140361,68.71,18,87.00,S,NOV_DEC,2014,NORMAL,PH1162,1.5,ENGINEERING PHYSICS LAB,87.000000,80.000000,72.000000,65.000000,57.000000,50.000000,NOV_DEC_2014,7,0,0,0,286
20140755,67.21,14.5,82.00,A,NOV_DEC,2014,NORMAL,PH1162,1.5,ENGINEERING PHYSICS LAB,87.000000,80.000000,72.000000,65.000000,57.000000,50.000000,NOV_DEC_2014,7,0,0,0,286
20140385,69.53,12,82.00,A,NOV_DEC,2014,NORMAL,PH1162,1.5,ENGINEERING PHYSICS LAB,87.000000,80.000000,72.000000,65.000000,57.000000,50.000000,NOV_DEC_2014,7,0,0,0,286
20140229,63.12,14,78.00,B,NOV_DEC,2014,NORMAL,PH1162,1.5,ENGINEERING PHYSICS LAB,87.000000,80.000000,72.000000,65.000000,57.000000,50.000000,NOV_DEC_2014,7,0,0,0,286
20140037,67.62,8,76.00,B,NOV_DEC,2014,NORMAL,PH1162,1.5,ENGINEERING PHYSICS LAB,87.000000,80.000000,72.000000,65.000000,57.000000,50.000000,NOV_DEC_2014,7,0,0,0,286
20140397,68.57,10.5,80.00,A,NOV_DEC,2014,NORMAL,PH1162,1.5,ENGINEERING PHYSICS LAB,87.000000,80.000000,72.000000,65.000000,57.000000,50.000000,NOV_DEC_2014,7,0,0,0,286
20140445,67.48,8,76.00,B,NOV_DEC,2014,NORMAL,PH1162,1.5,ENGINEERING PHYSICS LAB,87.000000,80.000000,72.000000,65.000000,57.000000,50.000000,NOV_DEC_2014,7,0,0,0,286
20140505,63.53,12.5,77.00,B,NOV_DEC,2014,NORMAL,PH1162,1.5,ENGINEERING PHYSICS LAB,87.000000,80.000000,72.000000,65.000000,57.000000,50.000000,NOV_DEC_2014,7,0,0,0,286
20140313,73.21,16.5,90.00,S,NOV_DEC,2014,NORMAL,PH1162,1.5,ENGINEERING PHYSICS LAB,87.000000,80.000000,72.000000,65.000000,57.000000,50.000000,NOV_DEC_2014,7,0,0,0,286
20140145,55.35,5.5,61.00,D,NOV_DEC,2014,NORMAL,PH1162,1.5,ENGINEERING PHYSICS LAB,87.000000,80.000000,72.000000,65.000000,57.000000,50.000000,NOV_DEC_2014,7,0,0,0,286
20140251,68.83,12,81.00,A,NOV_DEC,2014,NORMAL,PH1162,1.5,ENGINEERING PHYSICS LAB,87.000000,80.000000,72.000000,65.000000,57.000000,50.000000,NOV_DEC_2014,7,0,0,0,286
20140517,65.85,10,76.00,B,NOV_DEC,2014,NORMAL,PH1162,1.5,ENGINEERING PHYSICS LAB,87.000000,80.000000,72.000000,65.000000,57.000000,50.000000,NOV_DEC_2014,7,0,0,0,286
20140493,65.57,16,82.00,A,NOV_DEC,2014,NORMAL,PH1162,1.5,ENGINEERING PHYSICS LAB,87.000000,80.000000,72.000000,65.000000,57.000000,50.000000,NOV_DEC_2014,7,0,0,0,286
20140457,65.44,14,80.00,A,NOV_DEC,2014,NORMAL,PH1162,1.5,ENGINEERING PHYSICS LAB,87.000000,80.000000,72.000000,65.000000,57.000000,50.000000,NOV_DEC_2014,7,0,0,0,286
20140013,70.34,15,86.00,A,NOV_DEC,2014,NORMAL,PH1162,1.5,ENGINEERING PHYSICS LAB,87.000000,80.000000,72.000000,65.000000,57.000000,50.000000,NOV_DEC_2014,7,0,0,0,286
20140409,69.80,9.5,80.00,A,NOV_DEC,2014,NORMAL,PH1162,1.5,ENGINEERING PHYSICS LAB,87.000000,80.000000,72.000000,65.000000,57.000000,50.000000,NOV_DEC_2014,7,0,0,0,286
