Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20120580,17.10,AB,0.00,I,NOV_DEC,2015,BACK,COB105_COA205,4.0,COMPUTER PROGRAMMING USING C _CS1110__12 13 14 15_,84.000000,74.000000,65.000000,55.000000,45.000000,35.000000,NOV_DEC_2015,0,0,0,0,0
20120360,9.90,AB,0.00,I,NOV_DEC,2015,BACK,COB105_COA205,4.0,COMPUTER PROGRAMMING USING C _CS1110__12 13 14 15_,84.000000,74.000000,65.000000,55.000000,45.000000,35.000000,NOV_DEC_2015,0,0,0,0,0
20130494,14.90,14,29.00,F,NOV_DEC,2015,BACK,COB105_COA205,4.0,COMPUTER PROGRAMMING USING C _CS1110__12 13 14 15_,84.000000,74.000000,65.000000,55.000000,45.000000,35.000000,NOV_DEC_2015,0,0,0,0,0
20130507,15.50,11,27.00,F,NOV_DEC,2015,BACK,COB105_COA205,4.0,COMPUTER PROGRAMMING USING C _CS1110__12 13 14 15_,84.000000,74.000000,65.000000,55.000000,45.000000,35.000000,NOV_DEC_2015,0,0,0,0,0
20130572,17.85,AB,0.00,I,NOV_DEC,2015,BACK,COB105_COA205,4.0,COMPUTER PROGRAMMING USING C _CS1110__12 13 14 15_,84.000000,74.000000,65.000000,55.000000,45.000000,35.000000,NOV_DEC_2015,0,0,0,0,0
20130707,18.65,29.5,49.00,D,NOV_DEC,2015,BACK,COB105_COA205,4.0,COMPUTER PROGRAMMING USING C _CS1110__12 13 14 15_,84.000000,74.000000,65.000000,55.000000,45.000000,35.000000,NOV_DEC_2015,0,0,0,0,0
20140153,21.75,6.5,29.00,F,NOV_DEC,2015,BACK,COB105_COA205,4.0,COMPUTER PROGRAMMING USING C _CS1110__12 13 14 15_,84.000000,74.000000,65.000000,55.000000,45.000000,35.000000,NOV_DEC_2015,0,0,0,0,0
20140463,17.55,AB,0.00,I,NOV_DEC,2015,BACK,COB105_COA205,4.0,COMPUTER PROGRAMMING USING C _CS1110__12 13 14 15_,84.000000,74.000000,65.000000,55.000000,45.000000,35.000000,NOV_DEC_2015,0,0,0,0,0
20140563,20.00,AB,0.00,I,NOV_DEC,2015,BACK,COB105_COA205,4.0,COMPUTER PROGRAMMING USING C _CS1110__12 13 14 15_,84.000000,74.000000,65.000000,55.000000,45.000000,35.000000,NOV_DEC_2015,0,0,0,0,0
20140565,10.67,AB,0.00,I,NOV_DEC,2015,BACK,COB105_COA205,4.0,COMPUTER PROGRAMMING USING C _CS1110__12 13 14 15_,84.000000,74.000000,65.000000,55.000000,45.000000,35.000000,NOV_DEC_2015,0,0,0,0,0
20140696,22.65,AB,0.00,I,NOV_DEC,2015,BACK,COB105_COA205,4.0,COMPUTER PROGRAMMING USING C _CS1110__12 13 14 15_,84.000000,74.000000,65.000000,55.000000,45.000000,35.000000,NOV_DEC_2015,0,0,0,0,0
20140701,14.50,17.5,32.00,F,NOV_DEC,2015,BACK,COB105_COA205,4.0,COMPUTER PROGRAMMING USING C _CS1110__12 13 14 15_,84.000000,74.000000,65.000000,55.000000,45.000000,35.000000,NOV_DEC_2015,0,0,0,0,0
20140736,16.40,AB,0.00,I,NOV_DEC,2015,BACK,COB105_COA205,4.0,COMPUTER PROGRAMMING USING C _CS1110__12 13 14 15_,84.000000,74.000000,65.000000,55.000000,45.000000,35.000000,NOV_DEC_2015,0,0,0,0,0
20140752,12.90,AB,0.00,I,NOV_DEC,2015,BACK,COB105_COA205,4.0,COMPUTER PROGRAMMING USING C _CS1110__12 13 14 15_,84.000000,74.000000,65.000000,55.000000,45.000000,35.000000,NOV_DEC_2015,0,0,0,0,0
