Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20120270,13.20,15,29.00,F,NOV_DEC,2017,BACK,MA1303_EC,4.0,ENGINEERING MATHEMATICS III _12 13 14 15 16_ _ME upto 2014 batch_,81.000000,72.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2017,0,0,0,0,0
20120283,10.00,20,30.00,F,NOV_DEC,2017,BACK,MA1303_EC,4.0,ENGINEERING MATHEMATICS III _12 13 14 15 16_ _ME upto 2014 batch_,81.000000,72.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2017,0,0,0,0,0
20130536,14.00,14,28.00,F,NOV_DEC,2017,BACK,MA1303_EC,4.0,ENGINEERING MATHEMATICS III _12 13 14 15 16_ _ME upto 2014 batch_,81.000000,72.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2017,0,0,0,0,0
20130576,13.90,AB,0.00,I,NOV_DEC,2017,BACK,MA1303_EC,4.0,ENGINEERING MATHEMATICS III _12 13 14 15 16_ _ME upto 2014 batch_,81.000000,72.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2017,0,0,0,0,0
20140499,18.20,AB,0.00,I,NOV_DEC,2017,BACK,MA1303_EC,4.0,ENGINEERING MATHEMATICS III _12 13 14 15 16_ _ME upto 2014 batch_,81.000000,72.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2017,0,0,0,0,0
20140558,14.60,00,15.00,F,NOV_DEC,2017,BACK,MA1303_EC,4.0,ENGINEERING MATHEMATICS III _12 13 14 15 16_ _ME upto 2014 batch_,81.000000,72.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2017,0,0,0,0,0
20140685,11.90,15.5,28.00,F,NOV_DEC,2017,BACK,MA1303_EC,4.0,ENGINEERING MATHEMATICS III _12 13 14 15 16_ _ME upto 2014 batch_,81.000000,72.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2017,0,0,0,0,0
201415504,15.50,5.0,21.00,F,NOV_DEC,2017,BACK,MA1303_EC,4.0,ENGINEERING MATHEMATICS III _12 13 14 15 16_ _ME upto 2014 batch_,81.000000,72.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2017,0,0,0,0,0
201612501,13.50,11.5,25.00,F,NOV_DEC,2017,BACK,MA1303_EC,4.0,ENGINEERING MATHEMATICS III _12 13 14 15 16_ _ME upto 2014 batch_,81.000000,72.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2017,0,0,0,0,0
201612502,14.80,7.5,23.00,F,NOV_DEC,2017,BACK,MA1303_EC,4.0,ENGINEERING MATHEMATICS III _12 13 14 15 16_ _ME upto 2014 batch_,81.000000,72.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2017,0,0,0,0,0
